File Start Time: 1262917589951
timestamp,acc_x,acc_y,acc_z,real time,activity
127510286314,-2.6308594,-0.37817383,9.9453125,1262917590146,None
127730286314,-2.6132812,-0.39013672,9.9765625,1262917590417,None
127950286314,-2.6152344,-0.37329102,9.953125,1262917590459,None
128170286314,-2.65625,-0.36376953,9.953125,1262917591344,None
128390286314,-2.6152344,-0.3876953,9.96875,1262917591348,None
128610286314,-2.6191406,-0.35888672,9.96875,1262917591353,None
128830286314,-2.6425781,-0.38061523,9.96875,1262917591360,None
129050286314,-2.6308594,-0.39013672,9.953125,1262917591461,None
129270286314,-2.6269531,-0.3876953,9.96875,1262917591634,None
129490286314,-2.6230469,-0.37109375,9.9609375,1262917591865,None
129690286314,-2.6210938,-0.37817383,9.984375,1262917592039,None
129890386314,-2.5878906,-0.4020996,9.984375,1262917592242,None
129900486314,-2.5878906,-0.4020996,9.984375,1262917592250,None
129910386314,-2.5878906,-0.4020996,9.984375,1262917592255,None
129920286314,-2.5878906,-0.4020996,9.984375,1262917592262,None
129930186314,-2.5878906,-0.4020996,9.984375,1262917592266,None
129940086314,-2.5878906,-0.4020996,9.984375,1262917592290,None
129949986314,-2.6582031,-0.38305664,9.890625,1262917592295,None
129959886314,-2.6640625,-0.3852539,9.96875,1262917592301,None
129969786314,-2.6484375,-0.39501953,9.9609375,1262917592312,None
129979686314,-2.6445312,-0.4020996,9.9609375,1262917592318,None
129989586314,-2.6523438,-0.40698242,9.9609375,1262917592341,None
129999486314,-2.6464844,-0.3972168,9.9765625,1262917592345,None
130009386314,-2.640625,-0.4091797,9.953125,1262917592349,None
130019286314,-2.609375,-0.4284668,9.9609375,1262917592371,None
130029186314,-2.59375,-0.42358398,9.984375,1262917592374,None
130039086314,-2.6152344,-0.4116211,9.9609375,1262917592382,None
130048986314,-2.6132812,-0.40698242,9.9453125,1262917592401,None
130058886314,-2.5996094,-0.3972168,9.9296875,1262917592404,None
130068786314,-2.6132812,-0.37817383,9.9453125,1262917592407,None
130078686314,-2.6152344,-0.37109375,9.96875,1262917592432,None
130088586314,-2.6230469,-0.36865234,9.984375,1262917592435,None
130098486314,-2.6367188,-0.37817383,9.953125,1262917592438,None
130108386314,-2.6230469,-0.3972168,9.96875,1262917592463,None
130118286314,-2.6347656,-0.37817383,9.9765625,1262917592466,None
130128186314,-2.6152344,-0.36621094,9.96875,1262917592468,None
130138086314,-2.6054688,-0.35888672,9.9375,1262917592492,None
130147986314,-2.6210938,-0.36621094,9.953125,1262917592494,None
130157886314,-2.6191406,-0.35668945,9.9453125,1262917592498,None
130167786314,-2.6523438,-0.37109375,9.9375,1262917592523,None
130177686314,-2.6679688,-0.40454102,9.9609375,1262917592528,None
130187586314,-2.6894531,-0.3996582,9.9453125,1262917592531,None
130197486314,-2.6738281,-0.42358398,9.9765625,1262917592553,None
130207386314,-2.6738281,-0.4428711,9.9453125,1262917592557,None
130217286314,-2.6621094,-0.4260254,9.9296875,1262917592560,None
130227186314,-2.6425781,-0.4189453,9.9453125,1262917592584,None
130237086314,-2.625,-0.43310547,9.9453125,1262917592587,None
130246986314,-2.6113281,-0.4260254,9.9375,1262917592589,None
130256886314,-2.5878906,-0.39501953,9.984375,1262917592614,None
130266786314,-2.578125,-0.4091797,10.0,1262917592618,None
130276686314,-2.5917969,-0.39501953,9.9921875,1262917592620,None
130286586314,-2.5976562,-0.38305664,10.0,1262917592645,None
130296486314,-2.5878906,-0.38305664,10.0,1262917592648,None
130306386314,-2.6191406,-0.38305664,9.984375,1262917592651,None
130316286314,-2.6152344,-0.37817383,9.96875,1262917592675,None
130326186314,-2.6269531,-0.3876953,9.9609375,1262917592679,None
130336086314,-2.6621094,-0.37573242,9.9453125,1262917592684,None
130345986314,-2.6894531,-0.3972168,9.9609375,1262917592711,None
130355886314,-2.6972656,-0.36621094,9.9765625,1262917592714,None
130365786314,-2.6894531,-0.3876953,9.9375,1262917592717,None
130375686314,-2.6777344,-0.4091797,9.921875,1262917592740,None
130385586314,-2.6972656,-0.4116211,9.9453125,1262917592761,None
130395486314,-2.6425781,-0.42114258,9.953125,1262917592770,None
130405386314,-2.6210938,-0.4189453,9.9765625,1262917592773,None
130415286314,-2.6132812,-0.43310547,9.9765625,1262917592777,None
130425186314,-2.5917969,-0.4284668,10.0,1262917592790,None
130435086314,-2.59375,-0.42358398,9.9921875,1262917592792,None
130444986314,-2.5703125,-0.4020996,9.9609375,1262917592801,None
130454886314,-2.5703125,-0.4091797,9.9765625,1262917592825,None
130464786314,-2.5976562,-0.38305664,9.9765625,1262917592837,None
130474686314,-2.5878906,-0.39257812,9.9609375,1262917592850,None
130484586314,-2.625,-0.37573242,9.9609375,1262917592854,None
130494486314,-2.640625,-0.37573242,9.9375,1262917592859,None
130504386314,-2.65625,-0.37109375,9.9609375,1262917592861,None
130514286314,-2.6621094,-0.32299805,9.921875,1262917592879,None
130524186314,-2.7148438,-0.3996582,9.9375,1262917592884,None
130534086314,-2.6875,-0.40698242,9.9765625,1262917592898,None
130543986314,-2.6542969,-0.38061523,9.90625,1262917592909,None
130553886314,-2.65625,-0.37573242,9.96875,1262917592913,None
130563786314,-2.6484375,-0.38305664,9.9453125,1262917592916,None
130573686314,-2.625,-0.44750977,9.9609375,1262917592937,None
130583586314,-2.6152344,-0.44995117,9.9453125,1262917592942,None
130593486314,-2.6132812,-0.3996582,9.9921875,1262917592945,None
130603386314,-2.5800781,-0.4165039,9.9453125,1262917592968,None
130613286314,-2.5898438,-0.4428711,10.0,1262917592972,None
130623186314,-2.6113281,-0.4428711,10.0,1262917592975,None
130633086314,-2.6152344,-0.4020996,9.984375,1262917593003,None
130642986314,-2.6269531,-0.4116211,9.9375,1262917593007,None
130652886314,-2.65625,-0.39501953,9.9140625,1262917593010,None
130662786314,-2.6738281,-0.40454102,9.9453125,1262917593028,None
130672686314,-2.6679688,-0.3996582,9.9765625,1262917593031,None
130682586314,-2.640625,-0.36865234,9.921875,1262917593034,None
130692486314,-2.6425781,-0.38305664,9.953125,1262917593060,None
130702386314,-2.6621094,-0.40454102,9.96875,1262917593063,None
130712286314,-2.6582031,-0.38061523,9.9375,1262917593066,None
130722186314,-2.6445312,-0.37329102,9.9453125,1262917593088,None
130732086314,-2.6210938,-0.35668945,9.953125,1262917593099,None
130741986314,-2.6152344,-0.37329102,9.953125,1262917593101,None
130751886314,-2.6210938,-0.38305664,9.953125,1262917593122,None
130761786314,-2.6347656,-0.3876953,10.015625,1262917593126,None
130771686314,-2.6015625,-0.4020996,10.0078125,1262917593136,None
130781586314,-2.6191406,-0.4116211,9.953125,1262917593144,None
130791486314,-2.609375,-0.42114258,9.953125,1262917593151,None
130801386314,-2.6347656,-0.43310547,9.9296875,1262917593170,None
130811286314,-2.6464844,-0.45239258,9.953125,1262917593173,None
130821186314,-2.6367188,-0.46435547,9.9609375,1262917593178,None
130831086314,-2.6464844,-0.4453125,9.9375,1262917593201,None
130840986314,-2.6621094,-0.4428711,9.9609375,1262917593205,None
130850886314,-2.6621094,-0.43798828,9.9453125,1262917593209,None
130860786314,-2.6445312,-0.42114258,9.96875,1262917593231,None
130870686314,-2.65625,-0.4020996,9.96875,1262917593235,None
130880586314,-2.6796875,-0.39501953,9.9453125,1262917593239,None
130890486314,-2.6328125,-0.3876953,9.9609375,1262917593260,None
130900386314,-2.6464844,-0.36621094,9.9765625,1262917593304,None
130910286314,-2.6484375,-0.35888672,9.96875,1262917593312,None
130920186314,-2.6191406,-0.33032227,9.9609375,1262917593314,None
130930086314,-2.5996094,-0.33496094,9.9609375,1262917593316,None
130939986314,-2.6132812,-0.33032227,9.9765625,1262917593318,None
130949886314,-2.6269531,-0.36621094,9.9765625,1262917593327,None
130959786314,-2.6269531,-0.3876953,9.96875,1262917593333,None
130969686314,-2.625,-0.40698242,9.96875,1262917593336,None
130979586314,-2.6210938,-0.4116211,9.9921875,1262917593346,None
130989486314,-2.6484375,-0.4189453,9.9609375,1262917593366,None
130999386314,-2.6328125,-0.4404297,9.984375,1262917593377,None
131009286314,-2.6308594,-0.46435547,9.9609375,1262917593380,None
131019186314,-2.6445312,-0.47631836,9.9375,1262917593383,None
131029086314,-2.6328125,-0.4309082,9.953125,1262917593402,None
131038986314,-2.6523438,-0.4020996,9.953125,1262917593410,None
131048886314,-2.6308594,-0.40698242,9.9296875,1262917593412,None
131058786314,-2.6640625,-0.37329102,9.96875,1262917593432,None
131068686314,-2.6328125,-0.36132812,9.9296875,1262917593444,None
131078586314,-2.640625,-0.34228516,9.9453125,1262917593448,None
131088486314,-2.6464844,-0.35888672,9.9609375,1262917593464,None
131098386314,-2.6582031,-0.37573242,9.9609375,1262917593467,None
131108286314,-2.625,-0.3852539,9.96875,1262917593469,None
131118186314,-2.6308594,-0.38061523,9.953125,1262917593492,None
131128086314,-2.6230469,-0.38305664,9.96875,1262917593495,None
131137986314,-2.6230469,-0.40454102,9.96875,1262917593500,None
131147886314,-2.609375,-0.4284668,9.9765625,1262917593527,None
131157786314,-2.6132812,-0.4116211,9.953125,1262917593530,None
131167686314,-2.6015625,-0.4165039,9.953125,1262917593538,None
131177586314,-2.6015625,-0.4165039,9.953125,1262917593554,None
131187486314,-2.5917969,-0.4140625,9.953125,1262917593557,None
131197386314,-2.6230469,-0.4116211,9.9453125,1262917593560,None
131207286314,-2.6328125,-0.4165039,9.9609375,1262917593587,None
131217186314,-2.65625,-0.38305664,9.9609375,1262917593588,None
131227086314,-2.6523438,-0.38061523,9.9609375,1262917593591,None
131236986314,-2.6523438,-0.36865234,9.9609375,1262917593614,None
131246886314,-2.6542969,-0.37329102,9.9375,1262917593616,None
131256786314,-2.6542969,-0.3876953,9.9453125,1262917593619,None
131266686314,-2.6542969,-0.39013672,9.921875,1262917593645,None
131276586314,-2.6445312,-0.39013672,9.9609375,1262917593656,None
131286486314,-2.6582031,-0.3852539,9.9375,1262917593664,None
131296386314,-2.6445312,-0.39501953,9.9609375,1262917593680,None
131306286314,-2.6640625,-0.3972168,9.953125,1262917593684,None
131316186314,-2.640625,-0.4116211,9.9765625,1262917593686,None
131326086314,-2.5996094,-0.39501953,9.9609375,1262917593695,None
131335986314,-2.5878906,-0.4140625,9.9375,1262917593702,None
131345886314,-2.5878906,-0.40454102,9.9765625,1262917593745,None
131355786314,-2.5839844,-0.39013672,9.9765625,1262917593752,None
131365686314,-2.5917969,-0.39013672,9.96875,1262917593756,None
131375586314,-2.6015625,-0.3876953,9.9609375,1262917593759,None
131385486314,-2.6054688,-0.39501953,9.9453125,1262917593761,None
131395386314,-2.6269531,-0.35888672,9.9453125,1262917593763,None
131405286314,-2.65625,-0.36621094,9.9453125,1262917593789,None
131415186314,-2.6660156,-0.39257812,9.9296875,1262917593793,None
131425086314,-2.6757812,-0.39013672,9.953125,1262917593803,None
131434986314,-2.6679688,-0.38305664,9.9375,1262917593814,None
131444886314,-2.6523438,-0.3996582,9.9296875,1262917593830,None
131454786314,-2.6464844,-0.42114258,9.9609375,1262917593831,None
131464686314,-2.6425781,-0.4309082,9.9453125,1262917593832,None
131474586314,-2.6035156,-0.42358398,9.9765625,1262917593856,None
131484486314,-2.6113281,-0.4140625,9.9609375,1262917593858,None
131494386314,-2.6210938,-0.39257812,9.9609375,1262917593861,None
131504286314,-2.6191406,-0.39013672,9.96875,1262917593887,None
131514186314,-2.5996094,-0.38061523,9.9765625,1262917593890,None
131524086314,-2.6191406,-0.39013672,9.953125,1262917593893,None
131533986314,-2.6152344,-0.36132812,9.9453125,1262917593924,None
131543886314,-2.6015625,-0.35424805,9.9609375,1262917593925,None
131553786314,-2.609375,-0.36865234,9.9765625,1262917593926,None
131563886314,-2.6054688,-0.37573242,9.9765625,1262917593949,None
131573986314,-2.6445312,-0.39501953,9.9609375,1262917593951,None
131584086314,-2.6542969,-0.3996582,9.9453125,1262917593953,None
131594186314,-2.6582031,-0.39257812,9.953125,1262917593978,None
131604286314,-2.6738281,-0.40698242,9.921875,1262917593980,None
131614386314,-2.6894531,-0.4140625,9.9296875,1262917593983,None
131624486314,-2.6855469,-0.4284668,9.921875,1262917594009,None
131634586314,-2.6796875,-0.4404297,9.9296875,1262917594013,None
131644686314,-2.6640625,-0.4453125,9.9375,1262917594015,None
131654786314,-2.625,-0.42358398,9.9140625,1262917594038,None
131664886314,-2.6132812,-0.4165039,9.953125,1262917594041,None
131674986314,-2.609375,-0.4165039,9.9765625,1262917594044,None
131685086314,-2.59375,-0.39013672,9.9765625,1262917594074,None
131695186314,-2.59375,-0.39013672,9.96875,1262917594083,None
131705286314,-2.59375,-0.3876953,9.9765625,1262917594084,None
131715386314,-2.578125,-0.3876953,9.953125,1262917594091,None
131725486314,-2.59375,-0.39501953,9.953125,1262917594104,None
131735586314,-2.625,-0.3972168,9.953125,1262917594115,None
131745686314,-2.6367188,-0.37817383,9.96875,1262917594120,None
131755786314,-2.6484375,-0.3852539,9.953125,1262917594130,None
131765886314,-2.6621094,-0.3852539,9.9453125,1262917594146,None
131775986314,-2.6640625,-0.39013672,9.9296875,1262917594163,None
131786086314,-2.6738281,-0.37573242,9.9140625,1262917594166,None
131796186314,-2.6875,-0.4020996,9.921875,1262917594179,None
131806286314,-2.6464844,-0.40698242,9.9765625,1262917594184,None
131816386314,-2.6523438,-0.38305664,9.9453125,1262917594187,None
131826486314,-2.6660156,-0.4020996,9.9609375,1262917594211,None
131836586314,-2.6113281,-0.42114258,9.9375,1262917594213,None
131846686314,-2.6191406,-0.4091797,9.9609375,1262917594216,None
131856786314,-2.6367188,-0.39257812,9.953125,1262917594243,None
131866886314,-2.6132812,-0.4165039,9.9765625,1262917594245,None
131876986314,-2.5839844,-0.40454102,9.96875,1262917594248,None
131887086314,-2.6113281,-0.38305664,9.9453125,1262917594271,None
131897186314,-2.6230469,-0.38061523,9.9453125,1262917594273,None
131907286314,-2.6035156,-0.37817383,9.96875,1262917594276,None
131917386314,-2.6425781,-0.3996582,9.9609375,1262917594302,None
131927486314,-2.6367188,-0.3996582,9.9765625,1262917594305,None
131937586314,-2.6523438,-0.39501953,9.96875,1262917594309,None
131947686314,-2.6523438,-0.3996582,9.953125,1262917594337,None
131957786314,-2.6660156,-0.39257812,9.9453125,1262917594341,None
131967886314,-2.65625,-0.3972168,9.9296875,1262917594343,None
131977986314,-2.6425781,-0.39013672,9.96875,1262917594353,None
131988086314,-2.6582031,-0.36621094,9.96875,1262917594356,None
131998186314,-2.65625,-0.36376953,9.9453125,1262917594392,None
132008286314,-2.6523438,-0.39013672,9.9453125,1262917594395,None
132018386314,-2.640625,-0.3972168,9.9609375,1262917594400,None
132028486314,-2.6328125,-0.3876953,9.9375,1262917594409,None
132038586314,-2.6210938,-0.3972168,9.96875,1262917594410,None
132048686314,-2.6367188,-0.3996582,9.9609375,1262917594440,None
132058786314,-2.6210938,-0.4091797,9.953125,1262917594471,None
132068886314,-2.6269531,-0.4284668,9.953125,1262917594474,None
132078986314,-2.6054688,-0.44995117,9.96875,1262917594476,None
132089086314,-2.609375,-0.4404297,9.9765625,1262917594477,None
132099186314,-2.6015625,-0.42358398,9.9765625,1262917594486,None
132109286314,-2.5742188,-0.4189453,9.984375,1262917594501,None
132119386314,-2.6308594,-0.4165039,9.953125,1262917594502,None
132129486314,-2.6152344,-0.40454102,9.953125,1262917594509,None
132139586314,-2.6445312,-0.38305664,9.953125,1262917594512,None
132149686314,-2.6523438,-0.37109375,9.953125,1262917594524,None
132159786314,-2.6445312,-0.3876953,9.9453125,1262917594529,None
132169886314,-2.6582031,-0.36865234,9.9453125,1262917594602,None
132179986314,-2.6640625,-0.36132812,9.953125,1262917594612,None
132190086314,-2.6660156,-0.35888672,9.96875,1262917594613,None
132200186314,-2.6425781,-0.3972168,9.9453125,1262917594614,None
132210286314,-2.65625,-0.3876953,9.9375,1262917594616,None
132220386314,-2.6640625,-0.3876953,9.9453125,1262917594620,None
132230486314,-2.6269531,-0.4091797,9.9609375,1262917594628,None
132240586314,-2.6113281,-0.42114258,9.9609375,1262917594630,None
